source_id,jaccard,turnover,jsd,nucleo_W0,nucleo_W1,n0,n1
S65932378,1.0,0.0,0.015622056286529157,1311|1312,1311|1312,2,2
S66163274,1.0,0.0,0.021829902125181704,3320,3320,1,1
S66666449,0.6666666666666666,0.33333333333333337,0.05243021567877809,3312|3600,3207|3312|3600,2,3
S67147532,0.6666666666666666,0.33333333333333337,0.0324511178071782,3312|3320|3600,3312|3320,3,2
S68175919,1.0,0.0,0.011939993178697822,3103|3106,3103|3106,2,2
S69859562,1.0,0.0,0.007868235629865637,2604|2608|2610,2604|2608|2610,3,3
S70695507,1.0,0.0,0.008621925087337775,2604|2610,2604|2610,2,2
S70718007,0.6666666666666666,0.33333333333333337,0.008923057232951174,1705|2611|2739|3107|3109,1705|2611|3107|3109|3312,5,5
S70949411,0.3333333333333333,0.6666666666666667,0.04049466846067329,3312|3322,3312|3600,2,2
S71119591,1.0,0.0,0.01264695625069886,3312,3312,1,1
S71654957,1.0,0.0,0.08945042253128815,3312|3320,3312|3320,2,2
S71657983,1.0,0.0,0.018588964698324526,2604,2604,1,1
S71826845,1.0,0.0,0.012800194419724437,1211|3312|3320,1211|3312|3320,3,3
S74141806,1.0,0.0,0.0058153153677525105,1703|2604|2610,1703|2604|2610,3,3
S74899632,1.0,0.0,0.025911409165067102,3312,3312,1,1
S75771055,1.0,0.0,0.01651738847450502,3106,3106,1,1
S75796200,0.5,0.5,0.04403782214475367,2002|3312,3312,2,1
S76279167,1.0,0.0,0.020310601276191734,2604,2604,1,1
S76733833,1.0,0.0,0.048552672545835646,3312,3312,1,1
S77333429,1.0,0.0,0.013472022792971449,2604,2604,1,1
S77333486,1.0,0.0,0.04112447746304897,1211|3305|3312|3315|3320,1211|3305|3312|3315|3320,5,5
S7748972,1.0,0.0,0.021380705981364996,2604|2610,2604|2610,2,2
S77852275,1.0,0.0,0.017630454329274015,2604,2604,1,1
S78376336,1.0,0.0,0.019837413376878586,3106,3106,1,1
S79135273,1.0,0.0,0.022555655395425422,3312|3318,3312|3318,2,2
S79386155,1.0,0.0,0.012736398803577966,3312|3318,3312|3318,2,2
S79562878,0.6666666666666666,0.33333333333333337,0.03539735311863139,3203|3312,3203|3207|3312,2,3
S79712050,1.0,0.0,0.03430291192380244,3312|3320,3312|3320,2,2
S79731123,1.0,0.0,0.011140737095184029,1208|3312|3320,1208|3312|3320,3,3
S80347152,1.0,0.0,0.025888709145427694,3312,3312,1,1
S80367638,1.0,0.0,0.04039547016462637,3312|3320,3312|3320,2,2
S80823180,1.0,0.0,0.02018285385152969,3312|3320,3312|3320,2,2
S8095556,1.0,0.0,0.02254132939387003,1311|1312,1311|1312,2,2
S81071032,1.0,0.0,0.01577913585719503,3312,3312,1,1
S81124448,1.0,0.0,0.02968026829984037,3312|3313,3312|3313,2,2
S81556534,1.0,0.0,0.013914391076343562,2604,2604,1,1
S81862269,1.0,0.0,0.0,3312,3312,1,1
S81929299,1.0,0.0,0.011627578756910069,2716,2716,1,1
S83616544,0.5,0.5,0.05973995776352538,1407|3312|3320,3304|3312|3320,3,3
S83938913,0.5,0.5,0.03584805348090447,1211|3312|3320,1208|3312|3320,3,3
S84394799,1.0,0.0,0.03992494077889061,2002|3312|3320|3600,2002|3312|3320|3600,4,4
S84445930,1.0,0.0,0.02631400737258558,3312|3314,3312|3314,2,2
S84833568,1.0,0.0,0.04289466287821886,1311|1312,1311|1312,2,2
S84895730,1.0,0.0,0.054608626691367,3312|3314|3320,3312|3314|3320,3,3
S8523651,0.5,0.5,0.05566248282284504,2002|3312|3600,2002|3317|3600,3,3
S85534916,1.0,0.0,0.03921882591251162,3320,3320,1,1
S85937267,1.0,0.0,0.026216029487132766,3312,3312,1,1
S87350844,1.0,0.0,0.01334089442856403,2604,2604,1,1
S87435064,1.0,0.0,0.021606062856224406,3312|3320,3312|3320,2,2
S8759915,0.5,0.5,0.023845663830406996,3312,3312|3320,1,2
S88000251,1.0,0.0,0.03973715668932863,2306|3312,2306|3312,2,2
S88457980,1.0,0.0,0.02141036711075523,3312|3320,3312|3320,2,2
S88529193,1.0,0.0,0.012674450931615094,3312,3312,1,1
S88603889,0.6666666666666666,0.33333333333333337,0.009329581739866047,3312|3315,3312|3315|3318,2,3
S8922989,0.5,0.5,0.03127812350678464,3203,3203|3312,1,2
S89393028,1.0,0.0,0.016358549781741383,3312,3312,1,1
S89717723,1.0,0.0,0.014167358070575405,3312|3317|3320,3312|3317|3320,3,3
S90873577,1.0,0.0,0.0357457337003135,2002|3312,2002|3312,2,2
S90911399,0.3333333333333333,0.6666666666666667,0.02965244384037047,3312|3318,3304|3312,2,2
S9300723,1.0,0.0,0.017186548475231597,3312,3312,1,1
S93028289,1.0,0.0,0.017120986361988187,3312,3312,1,1
S939935174,1.0,0.0,0.005234866957672577,2604|2610,2604|2610,2,2
S9536269,1.0,0.0,0.04283355352774201,2613|3312,2613|3312,2,2
S95454600,1.0,0.0,0.028254635321645065,3312|3317,3312|3317,2,2
S959143335,1.0,0.0,0.014823574503790928,3106,3106,1,1
S96120751,1.0,0.0,0.01729519510199796,1110|1311|1312,1110|1311|1312,3,3
S961333017,0.5,0.5,0.036945915597190446,2002|3312|3320,2002|3312|3318,3,3
S96629499,1.0,0.0,0.007317044857094203,3312,3312,1,1
S96897161,0.3333333333333333,0.6666666666666667,0.04504520606457217,2002|3312,3312|3320,2,2
S97631563,1.0,0.0,0.028294480539407574,3312|3320,3312|3320,2,2
S97696616,1.0,0.0,0.04286709169830491,1311|1312,1311|1312,2,2
S97779488,0.5,0.5,0.01727658253096746,3106|3107|3108,2208|3106|3108,3,3
S97803974,1.0,0.0,0.02762668972865614,1212|3312,1212|3312,2,2
S97919111,1.0,0.0,0.03244006435217753,3312|3320,3312|3320,2,2
S99462834,1.0,0.0,0.02281940278052768,1110|1311,1110|1311,2,2
S995559440,1.0,0.0,0.013583629156140357,2604|2608|2610,2604|2608|2610,3,3
