source_id,config,subfield_id,d,p_doc
S10599296,W0_2021_2024,3108,16,0.0352
S10599296,W0_2021_2024,3109,7,0.0154
S10599296,W0_2021_2024,3205,1,0.0022
S10599296,W+1_2022_2025,1304,1,0.0022
S10599296,W+1_2022_2025,1312,2,0.0045
S10599296,W+1_2022_2025,1604,1,0.0022
S10599296,W+1_2022_2025,1607,2,0.0045
S10599296,W+1_2022_2025,1702,2,0.0045
S10599296,W+1_2022_2025,1703,2,0.0045
S10599296,W+1_2022_2025,1705,1,0.0022
S10599296,W+1_2022_2025,1707,1,0.0022
S10599296,W+1_2022_2025,1711,1,0.0022
S10599296,W+1_2022_2025,1906,3,0.0067
S10599296,W+1_2022_2025,1910,4,0.0089
S10599296,W+1_2022_2025,2202,6,0.0134
S10599296,W+1_2022_2025,2204,5,0.0112
S10599296,W+1_2022_2025,2205,1,0.0022
S10599296,W+1_2022_2025,2206,2,0.0045
S10599296,W+1_2022_2025,2209,1,0.0022
S10599296,W+1_2022_2025,2210,2,0.0045
S10599296,W+1_2022_2025,2211,4,0.0089
S10599296,W+1_2022_2025,2212,1,0.0022
S10599296,W+1_2022_2025,2213,1,0.0022
S10599296,W+1_2022_2025,2505,5,0.0112
S10599296,W+1_2022_2025,2508,1,0.0022
S10599296,W+1_2022_2025,2604,1,0.0022
S10599296,W+1_2022_2025,2610,1,0.0022
S10599296,W+1_2022_2025,2707,1,0.0022
S10599296,W+1_2022_2025,2740,5,0.0112
S10599296,W+1_2022_2025,2741,2,0.0045
S10599296,W+1_2022_2025,2916,1,0.0022
S10599296,W+1_2022_2025,3103,21,0.047
S10599296,W+1_2022_2025,3104,4,0.0089
S10599296,W+1_2022_2025,3105,2,0.0045
S10599296,W+1_2022_2025,3106,314,0.7025
S10599296,W+1_2022_2025,3107,24,0.0537
S10599296,W+1_2022_2025,3108,17,0.038
S10599296,W+1_2022_2025,3109,3,0.0067
S10599296,W+1_2022_2025,3205,1,0.0022
S107313304,W0_2021_2024,1202,1,0.0078
S107313304,W0_2021_2024,1211,1,0.0078
S107313304,W0_2021_2024,1407,1,0.0078
S107313304,W0_2021_2024,1710,1,0.0078
S107313304,W0_2021_2024,2000,3,0.0234
S107313304,W0_2021_2024,2308,2,0.0156
S107313304,W0_2021_2024,3203,1,0.0078
S107313304,W0_2021_2024,3207,1,0.0078
S107313304,W0_2021_2024,3303,4,0.0312
S107313304,W0_2021_2024,3312,80,0.625
S107313304,W0_2021_2024,3313,1,0.0078
S107313304,W0_2021_2024,3316,1,0.0078
S107313304,W0_2021_2024,3317,2,0.0156
S107313304,W0_2021_2024,3318,8,0.0625
S107313304,W0_2021_2024,3320,18,0.1406
S107313304,W0_2021_2024,3322,1,0.0078
S107313304,W0_2021_2024,3600,2,0.0156
S107313304,W+1_2022_2025,1100,1,0.0081
S107313304,W+1_2022_2025,1202,1,0.0081
S107313304,W+1_2022_2025,1211,1,0.0081
S107313304,W+1_2022_2025,1407,1,0.0081
S107313304,W+1_2022_2025,2000,3,0.0244
S107313304,W+1_2022_2025,2308,3,0.0244
S107313304,W+1_2022_2025,3203,3,0.0244
S107313304,W+1_2022_2025,3207,1,0.0081
S107313304,W+1_2022_2025,3303,5,0.0407
S107313304,W+1_2022_2025,3311,1,0.0081
S107313304,W+1_2022_2025,3312,70,0.5691
S107313304,W+1_2022_2025,3313,1,0.0081
S107313304,W+1_2022_2025,3314,1,0.0081
S107313304,W+1_2022_2025,3316,1,0.0081
S107313304,W+1_2022_2025,3318,8,0.065
S107313304,W+1_2022_2025,3320,20,0.1626
S107313304,W+1_2022_2025,3600,2,0.0163
S108587369,W0_2021_2024,1802,1,0.0345
S108587369,W0_2021_2024,2307,1,0.0345
S108587369,W0_2021_2024,3203,3,0.1034
S108587369,W0_2021_2024,3207,3,0.1034
S108587369,W0_2021_2024,3304,1,0.0345
S108587369,W0_2021_2024,3311,1,0.0345
S108587369,W0_2021_2024,3312,15,0.5172
S108587369,W0_2021_2024,3315,1,0.0345
S108587369,W0_2021_2024,3318,3,0.1034
S108587369,W+1_2022_2025,1802,1,0.0333
S108587369,W+1_2022_2025,2307,1,0.0333
S108587369,W+1_2022_2025,3203,2,0.0667
S108587369,W+1_2022_2025,3207,3,0.1
S108587369,W+1_2022_2025,3304,2,0.0667
S108587369,W+1_2022_2025,3311,1,0.0333
S108587369,W+1_2022_2025,3312,16,0.5333
S108587369,W+1_2022_2025,3315,1,0.0333
S108587369,W+1_2022_2025,3318,3,0.1
S108741841,W0_2021_2024,1202,3,0.0312
S108741841,W0_2021_2024,1204,1,0.0104
S108741841,W0_2021_2024,1206,1,0.0104
S108741841,W0_2021_2024,1207,1,0.0104
S108741841,W0_2021_2024,1208,2,0.0208
S108741841,W0_2021_2024,1210,2,0.0208
S108741841,W0_2021_2024,1211,1,0.0104
S108741841,W0_2021_2024,1213,8,0.0833
S108741841,W0_2021_2024,1702,1,0.0104
S108741841,W0_2021_2024,3205,1,0.0104
S108741841,W0_2021_2024,3207,2,0.0208
S108741841,W0_2021_2024,3312,56,0.5833
S108741841,W0_2021_2024,3314,3,0.0312
S108741841,W0_2021_2024,3315,5,0.0521
S108741841,W0_2021_2024,3320,6,0.0625
S108741841,W0_2021_2024,3600,2,0.0208
S108741841,W+1_2022_2025,1202,4,0.0435
S108741841,W+1_2022_2025,1203,1,0.0109
S108741841,W+1_2022_2025,1204,1,0.0109
S108741841,W+1_2022_2025,1206,1,0.0109
S108741841,W+1_2022_2025,1207,1,0.0109
S108741841,W+1_2022_2025,1208,3,0.0326
S108741841,W+1_2022_2025,1210,2,0.0217
S108741841,W+1_2022_2025,1211,1,0.0109
S108741841,W+1_2022_2025,1212,1,0.0109
S108741841,W+1_2022_2025,1213,4,0.0435
S108741841,W+1_2022_2025,1702,1,0.0109
S108741841,W+1_2022_2025,1912,1,0.0109
S108741841,W+1_2022_2025,2705,1,0.0109
S108741841,W+1_2022_2025,3205,1,0.0109
S108741841,W+1_2022_2025,3207,2,0.0217
S108741841,W+1_2022_2025,3308,1,0.0109
S108741841,W+1_2022_2025,3312,52,0.5652
S108741841,W+1_2022_2025,3314,3,0.0326
S108741841,W+1_2022_2025,3315,4,0.0435
S108741841,W+1_2022_2025,3320,4,0.0435
S108741841,W+1_2022_2025,3600,1,0.0109
S10875568,W0_2021_2024,1202,13,0.0533
S10875568,W0_2021_2024,1206,1,0.0041
S10875568,W0_2021_2024,1407,5,0.0205
S10875568,W0_2021_2024,1408,4,0.0164
S10875568,W0_2021_2024,1710,2,0.0082
S10875568,W0_2021_2024,1912,1,0.0041
S10875568,W0_2021_2024,2002,2,0.0082
S10875568,W0_2021_2024,2003,1,0.0041
S10875568,W0_2021_2024,2215,2,0.0082
S10875568,W0_2021_2024,2308,1,0.0041
S10875568,W0_2021_2024,2713,1,0.0041
S10875568,W0_2021_2024,2728,1,0.0041
S10875568,W0_2021_2024,2739,2,0.0082
S10875568,W0_2021_2024,2805,1,0.0041
S10875568,W0_2021_2024,3203,8,0.0328
S10875568,W0_2021_2024,3205,1,0.0041
S10875568,W0_2021_2024,3207,2,0.0082
S10875568,W0_2021_2024,3304,3,0.0123
S10875568,W0_2021_2024,3308,29,0.1189
S10875568,W0_2021_2024,3311,6,0.0246
S10875568,W0_2021_2024,3312,95,0.3893
S10875568,W0_2021_2024,3314,2,0.0082
S10875568,W0_2021_2024,3317,3,0.0123
S10875568,W0_2021_2024,3318,3,0.0123
S10875568,W0_2021_2024,3320,48,0.1967
S10875568,W0_2021_2024,3321,1,0.0041
S10875568,W0_2021_2024,3322,1,0.0041
S10875568,W0_2021_2024,3600,5,0.0205
S10875568,W+1_2022_2025,1111,1,0.0044
S10875568,W+1_2022_2025,1202,9,0.0398
S10875568,W+1_2022_2025,1206,1,0.0044
S10875568,W+1_2022_2025,1212,1,0.0044
S10875568,W+1_2022_2025,1407,5,0.0221
S10875568,W+1_2022_2025,1408,3,0.0133
S10875568,W+1_2022_2025,1710,4,0.0177
S10875568,W+1_2022_2025,1912,1,0.0044
S10875568,W+1_2022_2025,2002,2,0.0088
S10875568,W+1_2022_2025,2003,1,0.0044
S10875568,W+1_2022_2025,2215,1,0.0044
S10875568,W+1_2022_2025,2308,2,0.0088
S10875568,W+1_2022_2025,2728,1,0.0044
S10875568,W+1_2022_2025,2739,2,0.0088
S10875568,W+1_2022_2025,2805,1,0.0044
S10875568,W+1_2022_2025,3203,5,0.0221
S10875568,W+1_2022_2025,3205,1,0.0044
S10875568,W+1_2022_2025,3207,2,0.0088
S10875568,W+1_2022_2025,3304,4,0.0177
S10875568,W+1_2022_2025,3308,29,0.1283
S10875568,W+1_2022_2025,3311,5,0.0221
S10875568,W+1_2022_2025,3312,87,0.385
S10875568,W+1_2022_2025,3314,2,0.0088
S10875568,W+1_2022_2025,3316,1,0.0044
S10875568,W+1_2022_2025,3317,1,0.0044
S10875568,W+1_2022_2025,3318,3,0.0133
S10875568,W+1_2022_2025,3320,46,0.2035
S10875568,W+1_2022_2025,3321,1,0.0044
S10875568,W+1_2022_2025,3322,1,0.0044
S10875568,W+1_2022_2025,3600,3,0.0133
S109658313,W0_2021_2024,1100,1,0.0127
S109658313,W0_2021_2024,1109,1,0.0127
S109658313,W0_2021_2024,1202,3,0.038
S109658313,W0_2021_2024,1204,1,0.0127
S109658313,W0_2021_2024,1207,1,0.0127
S109658313,W0_2021_2024,1210,1,0.0127
S109658313,W0_2021_2024,1211,3,0.038
S109658313,W0_2021_2024,1406,1,0.0127
S109658313,W0_2021_2024,1605,1,0.0127
S109658313,W0_2021_2024,1705,1,0.0127
S109658313,W0_2021_2024,1802,1,0.0127
S109658313,W0_2021_2024,2306,1,0.0127
S109658313,W0_2021_2024,2308,2,0.0253
S109658313,W0_2021_2024,3304,1,0.0127
S109658313,W0_2021_2024,3311,1,0.0127
S109658313,W0_2021_2024,3312,47,0.5949
S109658313,W0_2021_2024,3318,1,0.0127
S109658313,W0_2021_2024,3320,10,0.1266
S109658313,W0_2021_2024,3321,1,0.0127
S109658313,W+1_2022_2025,1100,1,0.0116
S109658313,W+1_2022_2025,1202,6,0.0698
S109658313,W+1_2022_2025,1204,1,0.0116
S109658313,W+1_2022_2025,1207,1,0.0116
S109658313,W+1_2022_2025,1208,3,0.0349
S109658313,W+1_2022_2025,1210,1,0.0116
S109658313,W+1_2022_2025,1211,4,0.0465
S109658313,W+1_2022_2025,1406,1,0.0116
S109658313,W+1_2022_2025,1407,1,0.0116
S109658313,W+1_2022_2025,1605,1,0.0116
S109658313,W+1_2022_2025,1705,1,0.0116
S109658313,W+1_2022_2025,1802,1,0.0116
S109658313,W+1_2022_2025,1912,1,0.0116
S109658313,W+1_2022_2025,2306,1,0.0116
S109658313,W+1_2022_2025,2308,2,0.0233
S109658313,W+1_2022_2025,3305,1,0.0116
S109658313,W+1_2022_2025,3312,48,0.5581
